Description,Offense,Punishment,Section,preprocessed_description,preprocessed_offense
"Description of IPC Section 136
According to section 136 of Indian penal code, Whoever, except as hereinafter excepted, knowing or having reason to believe that an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, has deserted, harbours such officer, soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine or with both.


IPC 136 in Simple Words
If someone knowingly shelters or hides a deserted officer, soldier, sailor, or airman from the Indian Army, Navy, or Air Force, they can be punished with up to two years in jail, a fine, or both.","Harbouring such an officer, soldier, sailor or airman who has deserted",2 Years or Fine or Both,IPC_136,"['description', 'ipc', 'section', '136', 'according', 'section', '136', 'indian', 'penal', 'code', ',', 'whoever', ',', 'except', 'hereinafter', 'excepted', ',', 'knowing', 'reason', 'believe', 'officer', ',', 'soldier', ',', 'sailor', 'airman', ',', 'army', ',', 'navy', 'air', 'force', 'government', 'india', ',', 'deserted', ',', 'harbours', 'officer', ',', 'soldier', ',', 'sailor', 'airman', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'two', 'years', ',', 'fine', '.', 'ipc', '136', 'simple', 'words', 'someone', 'knowingly', 'shelters', 'hides', 'deserted', 'officer', ',', 'soldier', ',', 'sailor', ',', 'airman', 'indian', 'army', ',', 'navy', ',', 'air', 'force', ',', 'punished', 'two', 'years', 'jail', ',', 'fine', ',', '.']","['harbouring', 'officer', ',', 'soldier', ',', 'sailor', 'airman', 'deserted']"
"Description of IPC Section 122
According to section 122 of Indian penal code, Whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either waging or being prepared to wage war against the Government of India, shall be punished with imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.


IPC 122 in Simple Words
If someone gathers people, weapons, or prepares for war with the intention of waging or being ready to wage war against the Government of India, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Collecting arms, etc., with The intention of waging War against the Government of India",Imprisonment for Life or 10 Years + Fine,IPC_122,"['description', 'ipc', 'section', '122', 'according', 'section', '122', 'indian', 'penal', 'code', ',', 'whoever', 'collects', 'men', ',', 'arms', 'ammunition', 'otherwise', 'prepares', 'wage', 'war', 'intention', 'either', 'waging', 'prepared', 'wage', 'war', 'government', 'india', ',', 'shall', 'punished', 'imprisonment', 'life', 'imprisonment', 'either', 'description', 'term', 'exceeding', 'ten', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '122', 'simple', 'words', 'someone', 'gathers', 'people', ',', 'weapons', ',', 'prepares', 'war', 'intention', 'waging', 'ready', 'wage', 'war', 'government', 'india', ',', 'punished', 'life', 'imprisonment', 'imprisonment', 'ten', 'years', ',', 'may', 'also', 'fined', '.']","['collecting', 'arms', ',', 'etc.', ',', 'intention', 'waging', 'war', 'government', 'india']"
"Description of IPC Section 137
According to section 137 of Indian penal code, The master or person in charge of a merchant vessel, on board of which any deserter from the Army, Navy or Air Force of the Government of India is concealed, shall, though ignorant of such concealment, be liable to a penalty not exceeding five hundred rupees, if he might have known of such concealment but for some neglect of his duty as such master or person in charge, or but for some want of discipline on board of the vessel.


IPC 137 in Simple Words
If a deserter from the Indian Army, Navy, or Air Force is hidden on a merchant vessel, and the master or person in charge could have known about it but neglected their duty or lacked discipline, they can be penalized with a fine of up to five hundred rupees, even if they were unaware of the concealment.","Deserter concealed on board merchant vessel, through negligence of master or person in charge thereof",Fine,IPC_137,"['description', 'ipc', 'section', '137', 'according', 'section', '137', 'indian', 'penal', 'code', ',', 'master', 'person', 'charge', 'merchant', 'vessel', ',', 'board', 'deserter', 'army', ',', 'navy', 'air', 'force', 'government', 'india', 'concealed', ',', 'shall', ',', 'though', 'ignorant', 'concealment', ',', 'liable', 'penalty', 'exceeding', 'five', 'hundred', 'rupees', ',', 'might', 'known', 'concealment', 'neglect', 'duty', 'master', 'person', 'charge', ',', 'want', 'discipline', 'board', 'vessel', '.', 'ipc', '137', 'simple', 'words', 'deserter', 'indian', 'army', ',', 'navy', ',', 'air', 'force', 'hidden', 'merchant', 'vessel', ',', 'master', 'person', 'charge', 'could', 'known', 'neglected', 'duty', 'lacked', 'discipline', ',', 'penalized', 'fine', 'five', 'hundred', 'rupees', ',', 'even', 'unaware', 'concealment', '.']","['deserter', 'concealed', 'board', 'merchant', 'vessel', ',', 'negligence', 'master', 'person', 'charge', 'thereof']"
"Description of IPC Section 138
According to section 138 of Indian penal code, Whoever abets what he knows to be an act of insubordination by an officer, soldier, sailor or airman, in the Army, Navy or air Force, of the Government of India, shall, if such act of insubordination be committed in consequence of that abetment, be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.


IPC 138 in Simple Words
If someone encourages and supports an act of insubordination by a military officer, soldier, sailor, or airman, and that act is committed as a result, they can be punished with up to six months in jail, a fine, or both.","Abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence",6 Months or Fine or Both,IPC_138,"['description', 'ipc', 'section', '138', 'according', 'section', '138', 'indian', 'penal', 'code', ',', 'whoever', 'abets', 'knows', 'act', 'insubordination', 'officer', ',', 'soldier', ',', 'sailor', 'airman', ',', 'army', ',', 'navy', 'air', 'force', ',', 'government', 'india', ',', 'shall', ',', 'act', 'insubordination', 'committed', 'consequence', 'abetment', ',', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'six', 'months', ',', 'fine', ',', '.', 'ipc', '138', 'simple', 'words', 'someone', 'encourages', 'supports', 'act', 'insubordination', 'military', 'officer', ',', 'soldier', ',', 'sailor', ',', 'airman', ',', 'act', 'committed', 'result', ',', 'punished', 'six', 'months', 'jail', ',', 'fine', ',', '.']","['abetment', 'act', 'insubordination', 'officer', ',', 'soldier', ',', 'sailor', 'airman', ',', 'offence', 'committed', 'consequence']"
"Description of IPC Section 121A
According to section 121A of Indian penal code, Whoever within or without India conspires to commit any of the offences punishable by section 121, or conspires to overawe, by means of criminal force or the show of criminal force, the Central Government or any State Government, shall be punished with imprisonment for life, or with imprisonment of either description which may extend to ten years, and shall also be liable to fine.


IPC 121A in Simple Words
Section 121A of the Indian Penal Code states that anyone who conspires to commit certain serious offences or intends to use criminal force against the Central Government or any State Government may face punishment of life imprisonment or imprisonment up to ten years, along with a possible fine.",Conspiring to commit certain offences against the State,Imprisonment for Life or 10 Years + Fine,IPC_121A,"['description', 'ipc', 'section', '121a', 'according', 'section', '121a', 'indian', 'penal', 'code', ',', 'whoever', 'within', 'without', 'india', 'conspires', 'commit', 'offences', 'punishable', 'section', '121', ',', 'conspires', 'overawe', ',', 'means', 'criminal', 'force', 'show', 'criminal', 'force', ',', 'central', 'government', 'state', 'government', ',', 'shall', 'punished', 'imprisonment', 'life', ',', 'imprisonment', 'either', 'description', 'may', 'extend', 'ten', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '121a', 'simple', 'words', 'section', '121a', 'indian', 'penal', 'code', 'states', 'anyone', 'conspires', 'commit', 'certain', 'serious', 'offences', 'intends', 'use', 'criminal', 'force', 'central', 'government', 'state', 'government', 'may', 'face', 'punishment', 'life', 'imprisonment', 'imprisonment', 'ten', 'years', ',', 'along', 'possible', 'fine', '.']","['conspiring', 'commit', 'certain', 'offences', 'state']"
"Description of IPC Section 122
According to section 122 of Indian penal code, Whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either waging or being prepared to wage war against the Government of India, shall be punished with imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.


IPC 122 in Simple Words
If someone gathers people, weapons, or prepares for war with the intention of waging or being ready to wage war against the Government of India, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Collecting arms, etc., with The intention of waging War against the Government of India",Imprisonment for Life or 10 Years + Fine,IPC_122,"['description', 'ipc', 'section', '122', 'according', 'section', '122', 'indian', 'penal', 'code', ',', 'whoever', 'collects', 'men', ',', 'arms', 'ammunition', 'otherwise', 'prepares', 'wage', 'war', 'intention', 'either', 'waging', 'prepared', 'wage', 'war', 'government', 'india', ',', 'shall', 'punished', 'imprisonment', 'life', 'imprisonment', 'either', 'description', 'term', 'exceeding', 'ten', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '122', 'simple', 'words', 'someone', 'gathers', 'people', ',', 'weapons', ',', 'prepares', 'war', 'intention', 'waging', 'ready', 'wage', 'war', 'government', 'india', ',', 'punished', 'life', 'imprisonment', 'imprisonment', 'ten', 'years', ',', 'may', 'also', 'fined', '.']","['collecting', 'arms', ',', 'etc.', ',', 'intention', 'waging', 'war', 'government', 'india']"
"Description of IPC Section 123
According to section 123 of Indian penal code, Whoever, by any act, or by any illegal omission, conceals the existence of a design to wage war against the Government of India, intending by such concealment to facilitate, or knowing it to be likely that such concealment will facilitate, the waging of such war, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 123 in Simple Words
If someone hides or fails to report a plan to wage war against the Government of India, intending to help or knowing it might help the war, they can be punished with imprisonment of up to ten years and may also be fined.",Concealing with intent to facilitate a design to wage War,10 Years + Fine,IPC_123,"['description', 'ipc', 'section', '123', 'according', 'section', '123', 'indian', 'penal', 'code', ',', 'whoever', ',', 'act', ',', 'illegal', 'omission', ',', 'conceals', 'existence', 'design', 'wage', 'war', 'government', 'india', ',', 'intending', 'concealment', 'facilitate', ',', 'knowing', 'likely', 'concealment', 'facilitate', ',', 'waging', 'war', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'ten', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '123', 'simple', 'words', 'someone', 'hides', 'fails', 'report', 'plan', 'wage', 'war', 'government', 'india', ',', 'intending', 'help', 'knowing', 'might', 'help', 'war', ',', 'punished', 'imprisonment', 'ten', 'years', 'may', 'also', 'fined', '.']","['concealing', 'intent', 'facilitate', 'design', 'wage', 'war']"
"Description of IPC Section 124
According to section 124 of Indian penal code, Whoever, with the intention of inducing or compelling the President of India, or Governor of any State, to exercise or refrain from exercising in any manner any of the lawful powers of such President or Governor, assaults or wrongfully restrains, or attempts wrongfully to restrain, or overawes, by means of criminal force or the show of criminal force, or attempts so to overawe, such President or Governor, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 124 in Simple Words
If someone assaults or wrongfully restrains the President of India or Governor of a State with the intention of influencing their lawful powers, they can be punished with imprisonment of up to seven years and may also be fined.","Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power",7 Years + Fine,IPC_124,"['description', 'ipc', 'section', '124', 'according', 'section', '124', 'indian', 'penal', 'code', ',', 'whoever', ',', 'intention', 'inducing', 'compelling', 'president', 'india', ',', 'governor', 'state', ',', 'exercise', 'refrain', 'exercising', 'manner', 'lawful', 'powers', 'president', 'governor', ',', 'assaults', 'wrongfully', 'restrains', ',', 'attempts', 'wrongfully', 'restrain', ',', 'overawes', ',', 'means', 'criminal', 'force', 'show', 'criminal', 'force', ',', 'attempts', 'overawe', ',', 'president', 'governor', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'seven', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '124', 'simple', 'words', 'someone', 'assaults', 'wrongfully', 'restrains', 'president', 'india', 'governor', 'state', 'intention', 'influencing', 'lawful', 'powers', ',', 'punished', 'imprisonment', 'seven', 'years', 'may', 'also', 'fined', '.']","['assaulting', 'president', ',', 'governor', ',', 'etc.', ',', 'intent', 'compel', 'restrain', 'exercise', 'lawful', 'power']"
"Description of IPC Section 124A
According to section 124A of Indian penal code, Whoever by words, either spoken or written, or by signs, or by visible representation, or otherwise, brings or attempts to bring into hatred or contempt, or excites or attempts to excite disaffection towards, the Government established by law in India, a shall be punished with imprisonment for life, to which fine may be added, or with imprisonment which may extend to three years, to which fine may be added, or with fine.


IPC 124A in Simple Words
Section 124A of the Indian Penal Code punishes those who attempt to bring hatred, contempt, or disaffection towards the Government of India through spoken or written words, signs, or visible representations, with either life imprisonment or imprisonment up to three years, along with a possible fine.",Sedition,Imprisonment for Life + Fine or 3 Years + Fine or Fine,IPC_124A,"['description', 'ipc', 'section', '124a', 'according', 'section', '124a', 'indian', 'penal', 'code', ',', 'whoever', 'words', ',', 'either', 'spoken', 'written', ',', 'signs', ',', 'visible', 'representation', ',', 'otherwise', ',', 'brings', 'attempts', 'bring', 'hatred', 'contempt', ',', 'excites', 'attempts', 'excite', 'disaffection', 'towards', ',', 'government', 'established', 'law', 'india', ',', 'shall', 'punished', 'imprisonment', 'life', ',', 'fine', 'may', 'added', ',', 'imprisonment', 'may', 'extend', 'three', 'years', ',', 'fine', 'may', 'added', ',', 'fine', '.', 'ipc', '124a', 'simple', 'words', 'section', '124a', 'indian', 'penal', 'code', 'punishes', 'attempt', 'bring', 'hatred', ',', 'contempt', ',', 'disaffection', 'towards', 'government', 'india', 'spoken', 'written', 'words', ',', 'signs', ',', 'visible', 'representations', ',', 'either', 'life', 'imprisonment', 'imprisonment', 'three', 'years', ',', 'along', 'possible', 'fine', '.']",['sedition']
"Description of IPC Section 125
According to section 125 of Indian penal code, Whoever wages war against the Government of any Asiatic Power in alliance or at peace with the Government of India or attempts to wage such war, or abets the waging of such war, shall be punished with imprisonment for life, to which fine may be added, or with imprisonment of either description for a term which may extend to seven years, to which fine may be added, or with fine.


IPC 125 in Simple Words
If someone wages war against or attempts to wage war against a Government of an Asian country allied or at peace with India, or aids in doing so, they can be punished with life imprisonment, or imprisonment of up to seven years, and may also be fined.","Waging war against any Asiatic power in alliance or at peace with the Government of India, or abetting the waging of such war",Imprisonment for Life + Fine or 7 Years + Fine or Fine,IPC_125,"['description', 'ipc', 'section', '125', 'according', 'section', '125', 'indian', 'penal', 'code', ',', 'whoever', 'wages', 'war', 'government', 'asiatic', 'power', 'alliance', 'peace', 'government', 'india', 'attempts', 'wage', 'war', ',', 'abets', 'waging', 'war', ',', 'shall', 'punished', 'imprisonment', 'life', ',', 'fine', 'may', 'added', ',', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'seven', 'years', ',', 'fine', 'may', 'added', ',', 'fine', '.', 'ipc', '125', 'simple', 'words', 'someone', 'wages', 'war', 'attempts', 'wage', 'war', 'government', 'asian', 'country', 'allied', 'peace', 'india', ',', 'aids', ',', 'punished', 'life', 'imprisonment', ',', 'imprisonment', 'seven', 'years', ',', 'may', 'also', 'fined', '.']","['waging', 'war', 'asiatic', 'power', 'alliance', 'peace', 'government', 'india', ',', 'abetting', 'waging', 'war']"
"Description of IPC Section 126
According to section 126 of Indian penal code, Whoever commits depredation, or makes preparations to commit depredation, on the territories of any Power in alliance or at peace with the Government of India, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of any property used or intended to be used in committing such depredation, or acquired by such depredation.


IPC 126 in Simple Words
If someone commits or prepares to commit any harmful act on the territories of a country allied or at peace with India, they can be punished with imprisonment of up to seven years, fined, and any property used or gained in the act can be forfeited.",Committing depredation On the territories of any power in alliance or at peace with the Government of India,7 Years + Fine + forfeiture of property,IPC_126,"['description', 'ipc', 'section', '126', 'according', 'section', '126', 'indian', 'penal', 'code', ',', 'whoever', 'commits', 'depredation', ',', 'makes', 'preparations', 'commit', 'depredation', ',', 'territories', 'power', 'alliance', 'peace', 'government', 'india', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'seven', 'years', ',', 'shall', 'also', 'liable', 'fine', 'forfeiture', 'property', 'used', 'intended', 'used', 'committing', 'depredation', ',', 'acquired', 'depredation', '.', 'ipc', '126', 'simple', 'words', 'someone', 'commits', 'prepares', 'commit', 'harmful', 'act', 'territories', 'country', 'allied', 'peace', 'india', ',', 'punished', 'imprisonment', 'seven', 'years', ',', 'fined', ',', 'property', 'used', 'gained', 'act', 'forfeited', '.']","['committing', 'depredation', 'territories', 'power', 'alliance', 'peace', 'government', 'india']"
"Description of IPC Section 140
According to section 140 of Indian penal code, Whoever, not being a soldier, sailor or airman in the Military, Naval or Air service of the Government of India, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 140 in Simple Words
If someone who is not a military member wears a uniform or carries something resembling a military uniform to deceive others into believing they are a soldier, sailor, or airman, they can be punished with up to three months in jail, a fine of up to five hundred rupees, or both.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 Months or Fine or Both,IPC_140,"['description', 'ipc', 'section', '140', 'according', 'section', '140', 'indian', 'penal', 'code', ',', 'whoever', ',', 'soldier', ',', 'sailor', 'airman', 'military', ',', 'naval', 'air', 'service', 'government', 'india', ',', 'wears', 'garb', 'carries', 'token', 'resembling', 'garb', 'token', 'used', 'soldier', ',', 'sailor', 'airman', 'intention', 'may', 'believed', 'soldier', ',', 'sailor', 'airman', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'three', 'months', ',', 'fine', 'may', 'extend', 'five', 'hundred', 'rupees', ',', '.', 'ipc', '140', 'simple', 'words', 'someone', 'military', 'member', 'wears', 'uniform', 'carries', 'something', 'resembling', 'military', 'uniform', 'deceive', 'others', 'believing', 'soldier', ',', 'sailor', ',', 'airman', ',', 'punished', 'three', 'months', 'jail', ',', 'fine', 'five', 'hundred', 'rupees', ',', '.']","['wearing', 'dress', 'carrying', 'token', 'used', 'soldier', ',', 'sailor', 'airman', 'intent', 'may', 'believed', 'soldier', ',', 'sailor', 'airman']"
"Description of IPC Section 153
According to section 153 of Indian penal code, Whoever malignantly, or wantonly by doing anything which is illegal, gives provocation to any person intending or knowing it to be likely that such provocation will cause the offence of rioting to be committed, shall, if the offence of rioting be committed in consequence of such provocation, be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both, and if the offence of rioting be not committed, with imprisonment of either description for a term which may extend to six months, or with fine, or with both.


IPC 153 in Simple Words
If someone intentionally provokes another person in a way that may lead to a riot, they can be punished with up to one year in jail, a fine, or both if a riot occurs, and up to six months in jail, a fine, or both if a riot doesn't happen.","Wantonly giving provocation with intent to cause riot, If rioting be committed",1 Year or Fine or Both,IPC_153,"['description', 'ipc', 'section', '153', 'according', 'section', '153', 'indian', 'penal', 'code', ',', 'whoever', 'malignantly', ',', 'wantonly', 'anything', 'illegal', ',', 'gives', 'provocation', 'person', 'intending', 'knowing', 'likely', 'provocation', 'cause', 'offence', 'rioting', 'committed', ',', 'shall', ',', 'offence', 'rioting', 'committed', 'consequence', 'provocation', ',', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'one', 'year', ',', 'fine', ',', ',', 'offence', 'rioting', 'committed', ',', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'six', 'months', ',', 'fine', ',', '.', 'ipc', '153', 'simple', 'words', 'someone', 'intentionally', 'provokes', 'another', 'person', 'way', 'may', 'lead', 'riot', ',', 'punished', 'one', 'year', 'jail', ',', 'fine', ',', 'riot', 'occurs', ',', 'six', 'months', 'jail', ',', 'fine', ',', 'riot', ""n't"", 'happen', '.']","['wantonly', 'giving', 'provocation', 'intent', 'cause', 'riot', ',', 'rioting', 'committed']"
"Description of IPC Section 153A
According to section 153A of Indian penal code,
Whoever
by words, either spoken or written, or by signs or by visible representations or otherwise, promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, disharmony or feelings of enmity, hatred or ill-will between different religious, racials, language or regional groups or castes or communities, or
commits any act which is prejudicial to the maintenance of harmony between different religious, racial, language or regional groups or castes or communities, and which disturbs or is likely to disturb the public tranquility, or
organizes any exercise, movement, drill or other similar activity intending that the participants in such activity shall use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, or participates in such activity intending to use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, against any religious, racial, language or regional group or caste or community and such activity for any reason whatsoever causes or is likely to cause fear or alarm or a feeling of insecurity amongst members of such religious, racial, language or regional group or caste or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Offence committed in place of worship, etc â€” Whoever commits an offence specified in sub-section (1) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.


IPC 153A in Simple Words
Section 153A of the Indian Penal Code punishes those who promote disharmony or feelings of hatred between different religious, racial, language, or regional groups, or engage in acts prejudicial to maintaining harmony, with imprisonment up to three years, or fine, or both, and up to five years of imprisonment with fine if the offence is committed in a place of worship or during religious ceremonies.",Promoting enmity between classes,3 Years or Fine or Both,IPC_153A,"['description', 'ipc', 'section', '153a', 'according', 'section', '153a', 'indian', 'penal', 'code', ',', 'whoever', 'words', ',', 'either', 'spoken', 'written', ',', 'signs', 'visible', 'representations', 'otherwise', ',', 'promotes', 'attempts', 'promote', ',', 'grounds', 'religion', ',', 'race', ',', 'place', 'birth', ',', 'residence', ',', 'language', ',', 'caste', 'community', 'ground', 'whatsoever', ',', 'disharmony', 'feelings', 'enmity', ',', 'hatred', 'ill-will', 'different', 'religious', ',', 'racials', ',', 'language', 'regional', 'groups', 'castes', 'communities', ',', 'commits', 'act', 'prejudicial', 'maintenance', 'harmony', 'different', 'religious', ',', 'racial', ',', 'language', 'regional', 'groups', 'castes', 'communities', ',', 'disturbs', 'likely', 'disturb', 'public', 'tranquility', ',', 'organizes', 'exercise', ',', 'movement', ',', 'drill', 'similar', 'activity', 'intending', 'participants', 'activity', 'shall', 'use', 'trained', 'use', 'criminal', 'force', 'violence', 'knowing', 'likely', 'participants', 'activity', 'use', 'trained', 'use', 'criminal', 'force', 'violence', ',', 'participates', 'activity', 'intending', 'use', 'trained', 'use', 'criminal', 'force', 'violence', 'knowing', 'likely', 'participants', 'activity', 'use', 'trained', 'use', 'criminal', 'force', 'violence', ',', 'religious', ',', 'racial', ',', 'language', 'regional', 'group', 'caste', 'community', 'activity', 'reason', 'whatsoever', 'causes', 'likely', 'cause', 'fear', 'alarm', 'feeling', 'insecurity', 'amongst', 'members', 'religious', ',', 'racial', ',', 'language', 'regional', 'group', 'caste', 'community', ',', 'shall', 'punished', 'imprisonment', 'may', 'extend', 'three', 'years', ',', 'fine', ',', '.', 'offence', 'committed', 'place', 'worship', ',', 'etc', 'â€', '”', 'whoever', 'commits', 'offence', 'specified', 'sub-section', '(', '1', ')', 'place', 'worship', 'assembly', 'engaged', 'performance', 'religious', 'worship', 'religious', 'ceremonies', ',', 'shall', 'punished', 'imprisonment', 'may', 'extend', 'five', 'years', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '153a', 'simple', 'words', 'section', '153a', 'indian', 'penal', 'code', 'punishes', 'promote', 'disharmony', 'feelings', 'hatred', 'different', 'religious', ',', 'racial', ',', 'language', ',', 'regional', 'groups', ',', 'engage', 'acts', 'prejudicial', 'maintaining', 'harmony', ',', 'imprisonment', 'three', 'years', ',', 'fine', ',', ',', 'five', 'years', 'imprisonment', 'fine', 'offence', 'committed', 'place', 'worship', 'religious', 'ceremonies', '.']","['promoting', 'enmity', 'classes']"
